date,qty,lvmh_stock_price,kering_stock_price
2023-08-13,3293.189055653964,820.4000244140625,517.0999755859375
2023-08-20,3133.487363416657,776.9000244140625,492.6000061035156
2023-08-27,2894.6775767649738,785.2999877929688,487.6000061035156
2023-09-03,2796.70818428605,775.7999877929688,488.79998779296875
2023-09-10,2653.2025084158895,740.0,469.70001220703125
2023-09-17,2560.4736471674696,761.2000122070312,469.1000061035156
2023-09-24,2397.5003879202277,732.2999877929688,460.45001220703125
2023-10-01,2339.2346236302747,716.4000244140625,431.8999938964844
2023-10-08,2299.833534713566,729.7000122070312,425.3500061035156
2023-10-15,2284.6537965323187,660.5999755859375,406.79998779296875
2023-10-22,2193.978851710652,664.0,402.79998779296875
2023-10-29,2250.443544112864,661.4000244140625,383.5
2023-11-05,2256.846919298229,702.7999877929688,407.25
2023-11-12,2376.745557449248,687.0999755859375,393.1000061035156
2023-11-19,2380.8182181455413,711.5999755859375,404.29998779296875
2023-11-26,2415.8642286162303,706.9000244140625,406.45001220703125
2023-12-03,2486.366093249242,699.2000122070312,392.8999938964844
2023-12-10,2462.0875590941178,739.0999755859375,413.79998779296875
2023-12-17,2460.3925705742395,748.4000244140625,417.8500061035156
2023-12-24,2508.2793738296323,737.7000122070312,397.79998779296875
2023-12-31,2532.2227754573287,733.5999755859375,399.0
2024-01-07,2552.769461743933,688.9000244140625,378.3999938964844
2024-01-14,2558.0610043196393,669.9000244140625,366.70001220703125
2024-01-21,2640.238062275085,659.4000244140625,350.5
2024-01-28,2655.365568471732,773.0999755859375,384.79998779296875
2024-02-04,2861.4634821883883,778.0999755859375,376.6000061035156
2024-02-11,2961.677151985843,807.5,413.1000061035156
2024-02-18,3015.139358559833,815.7999877929688,428.1000061035156
2024-02-25,3125.7911171815476,850.0999755859375,425.6499938964844
2024-03-03,3153.2256906100088,846.4000244140625,423.95001220703125
2024-03-10,3072.7373445286817,844.9000244140625,417.3999938964844
2024-03-17,3024.3991902623256,862.2999877929688,426.1499938964844
2024-03-24,2996.082563848069,828.5999755859375,358.04998779296875
2024-03-31,2941.869978450553,833.7000122070312,366.3500061035156
2024-04-07,2747.520275415582,799.7999877929688,362.79998779296875
2024-04-14,2800.4575218008517,781.2000122070312,350.5
2024-04-21,2720.872127382193,796.5999755859375,339.1000061035156
2024-04-28,2593.1048812778895,792.2000122070312,337.95001220703125
2024-05-05,2605.3236020465,782.0,328.54998779296875
2024-05-12,2760.829189084671,788.4000244140625,332.45001220703125
2024-05-19,2889.092556326288,783.2000122070312,332.04998779296875
2024-05-26,2996.4207598694175,750.0,332.45001220703125
2024-06-02,3055.374538674265,734.9000244140625,317.20001220703125
2024-06-09,3090.809964637137,762.5,328.1000061035156
2024-06-16,3068.7091438324305,711.4000244140625,302.5
2024-06-23,3151.7650453097644,717.2999877929688,320.1000061035156
2024-06-30,3165.572676494637,713.5999755859375,338.5
2024-07-07,3380.873225258164,716.4000244140625,335.04998779296875
2024-07-14,3437.690097634826,724.7999877929688,339.20001220703125
2024-07-21,3670.9670598958132,679.7999877929688,315.04998779296875
